Ambivalent Vermilia,19
Glitter Flatter Scatter,19
Metamorphic,19
mathematical good-bye,19
I Love You,17
We're so Happy,18
glacia,19
Euphoric Fragmentation,19
ORCA,17
Ødyssey,20
Aftermath,18
Valanga,19
Avenger,17
パーフェクトイーター,19
[ ]DENTITY,19
White Stream,19
Good Sound United,19
JOMANDA,15
Rise As One,19
狂水一華,18
MAXX UNLIMITED(X-Special),11
PARANOiA (kskst mix),13
tokyoEVOLVED (TYPE2),13
TYPHØN,18
最終鬼畜妹フランドール・Ｓ,17
Not Alone,19
3y3s,19
ROCK THE PARTY,19
New York EVOLVED (Type A),13
轟け! 恋のビーンボール!!,15
ÆTHER,15
roppongi EVOLVED ver.D,12
Last Twilight,18
roppongi EVOLVED ver.C,12
ALBIDA,19
ENDYMION,16
"DEAD END (""GROOVE RADAR"" Special)",10
TAKE ME HIGHER,19
"Reach The Sky, Without you",16
FUNKY SUMMER BEACH,15
EGOISM 440,15
True Blue,15
SCHWARZSCHILD FIELD,18
恋愛観測,16
Jungle Dance,19
灼熱 Pt.2 Long Train Running,18
Triple Cross,18
世界の果てに約束の凱歌を -DDR Extended Megamix-,18
Get it,19
Be a Hero!,16
Rave Accelerator,18
ナイト・オブ・ナイツ,16
GROOVE 04,19
千客万来☆無問題！,19
Sector,19
Towards The Horizon,19
Sparkle Dreams,19
High & Low,18
BREDLI,19
最小三倍完全数,17
out of focus,16
roppongi EVOLVED ver.A,12
Yuni's Nocturnal Days,18
Finally Dive,19
東京神話,18
ノープラン・デイズ,18
MAX 300(X-Special),11
perditus†paradisus,19
新蛇姫,19
Rave in the Shell,19
SABER WING (Akira Ishihara Headshot mix),11
Abrupt Madness,19
Evans,18
海神,15
Catch Our Fire!,16
Poppin' Soda,18
The History of the Future,17
Electronic Sports Complex,19
Never See You Again,18
chaplet,19
SWEET HOME PARTY,17
Boss Rush,16
Love You More,16
Sand Blow,15
VOLAQUAS,19
Remain,15
roppongi EVOLVED ver.B,12
ドーパミン,15
S!ck,16
IX,15
Idola,15
バンブーソード・ガール,15
Continue to the real world?,19
District of the Shadows,17
Magnetic,14
Chromatic Burst,19
London EVOLVED ver.C,13
HyperTwist,18
Healing-D-Vision,9
POSSESSION (20th Anniversary Mix),16
MAX 360,16
Pluto Relinquish,10
HANIPAGANDA,19
Kill The Night,19
Puberty Dysthymia,16
DUAL STRIKER,19
Black Emperor,19
First Time,16
お米の美味しい炊き方、そしてお米を食べることによるその効果。,14
Golden Arrow,17
Pluto,10
打打打打打打打打打打,16
New Era,17
Let's DANCE aROUND!!,19
Give Me,17
toy boxer,17
tokyoEVOLVED (TYPE1),13
ホーンテッド★メイドランチ,17
Run The Show,18
DIGITALIZER,18
actualization of self (weaponized),18
ちくわパフェだよ☆ＣＫＰ (Yvya Remix),19
Grip & Break down !!,16
Life is beautiful,16
量子の海のリントヴルム,19
Prey,16
BREAKING THE FUTURE,19
DDR TAGMIX -LAST DanceR-,18
CRAZY♥LOVE,13
DEADLOCK -Out Of Reach-,18
UNBELIEVABLE (Sparky remix),13
リリーゼと炎龍レーヴァテイン,19
Thank You Merry Christmas,15
SURVIVAL AT THE END OF THE UNIVERSE,19
Ability,19
冥,12
Riot of Color,18
Good Looking,18
PARANOiA ～HADES～,10
Fleur,19
NGO,10
RЁVOLUTIФN,14
伐折羅-vajra-,19
888,12
The legend of MAX,8
REVOLUTIONARY ADDICT,13
New Decade,12
POSSESSION (EDP Live Mix),15
ACE FOR ACES,16
New Century,16
Neutrino,16
AWAKE,15
Triple Journey -TAG EDITION-,14
HAPPY☆LUCKY☆YEAPPY,15
London EVOLVED ver.B,13
朧 (dj TAKA Remix),16
KING,19
New York EVOLVED (Type C),13
Come to Life,16
Helios,17
I-W-U (I Want U),19
Megalara Garuda,19
Emera,16
Rampage Hero,17
STULTI,14
snow prism,13
Programmed Universe,13
Jucunda Memoria,18
Chinese Snowy Dance,14
†渚の小悪魔ラヴリィ～レイディオ†,14
PRANA,14
ANNIVERSARY ∴∵∴ ←↓↑→,16
ΩVERSOUL,17
MEGALOVANIA,19
Pluto The First,12
KIMONO♥PRINCESS,12
suspicions,19
VALLIS-NERIA,19
New Millennium,19
び,17
Concertino in Blue,19
鳳,19
恋する☆宇宙戦争っ!!,16
MAX 300 (Super-Max-Me Mix),9
ΔMAX,12
Trill auf G,17
Go For The Top,13
The legend of MAX(X-Special),11
Valkyrie dimension,12
Deep tenDon Reflex,19
Illegal Function Call,16
スカーレット警察のゲットーパトロール24時,19
ANTI ANTHEM,18
chaos eater,15
SMASH,19
New York EVOLVED (Type B),13
Arrabbiata,10
灼熱Beach Side Bunny,15
CyberConnect,17
Somehow You Found Me,14
RISING FIRE HAWK,16
PARANOIA survivor MAX,8
PARANOiA Revolution,13
Sakura Sunrise,12
Going Hypersonic,18
VANESSA,12
ALPACORE,17
"Over The ""Period""",15
Plan 8,15
トランスダンスアナーキー,19
キヤロラ衛星の軌跡,19
New Generation,14
voltississimo,17
tokyoEVOLVED (TYPE3),13
Kilonova,19
患部で止まってすぐ溶ける～狂気の優曇華院,19
MAX. (period),15
GLOW THE CROWN,19
Aria,19
Astrogazer,16
めうめうぺったんたん！！ (ZAQUVA Remix),19
DDR MEGAMIX,16
HAPPY☆ANGEL,9
In the past,18
メンタンピンドラドラ,19
Air Heroes,14
Step This Way,18
GLITTER,19
Complete Game Victory,19
Snow Garland Fairy,19
I'm so Happy,12
STAY GOLD,19
Glitch Angel,17
PANIC HOLIC,18
Blew My Mind,14
TRIP MACHINE EVOLUTION,13
Cosy Catastrophe,16
Fascination ～eternal love mix～,9
Lose Your Sense,19
未完成ノ蒸氣驅動乙女 (DDR Edition),17
ZETA～素数の世界と超越者～,12
TRIP MACHINE PhoeniX,10
CHAOS Terror-Tech Mix,16
Shiny World,12
The World Ends Now,17
最速最高シャッターガール,19
ウサテイ,19
Drive Away,19
Monkey Business,14
Ishtar,16
Splash Gold,17
GERBERA,19
Starlight in the Snow,17
Spanish Snowy Dance,14
Lachryma《Re:Queen’M》,17
Truare!,15
Pursuer,16
Lightspeed,18
Come To m1dy,19
ランカーキラーガール,17
ラクガキスト,15
MUTEKI BUFFALO,18
ｍｅｍｏｒｙ／／ＤＡＴＡＭＯＳＨＥＲ,19
ポラリスノウタ,19
London EVOLVED ver.A,13
Anti-Matter,12
Triple Counter,16
Start a New Day,16
starmine,15
TRIP MACHINE (xac nanoglide mix),13
シュレーディンガーの猫,16
隅田川夏恋歌,13
ナイト・オブ・ナイツ (Ryu☆Remix),17
GAIA,14
Pierce The Sky,12
WARNING×​WARNING×​WARNING,19
BLSTR,17
PRANA+REVOLUTIONARY ADDICT (U1 DJ Mix),15
Battle Against a True Hero,19
SISYPHUS,19
Fascination MAXX,9
BITTER CHOCOLATE STRIKER,18
Straight Oath,14
Tohoku EVOLVED,13
Elemental Creation,14
Trigger,11
SUPER SAMURAI,11
嘆きの樹,15
POSSESSION,12
"Acid,Tribal & Dance (DDR EDITION)",19
DIABLOSIS::Nāga,19
Death by Glamour,19
Firestorm,17
Wow Wow VENUS,14
Eon Break,19
